index,unique_invoices,total_quantity,avg_quantity_per_order,unit_price_std,customer_age_days,days_since_last_purchase,average_days_between_purchase,is_onetime_buyer,target_clv
103,7,1031,10.74,4.96,435,5,62.142857142857146,0,5.676616806583431
104,6,690,4.01,1.36,645,268,107.5,0,5.934708993285509
105,3,1674,15.79,4.55,353,239,117.66666666666667,0,6.656610836252868
106,21,5351,18.84,4.23,643,16,30.61904761904762,0,7.806765560196847
107,3,94,3.76,3.6,189,46,63.0,0,7.0559683661426424
108,3,519,7.31,4.44,632,284,210.66666666666666,0,5.1043684735131025
109,2,277,10.65,8.14,507,309,253.5,0,4.541164856012179
110,7,1306,10.12,92.72,599,54,85.57142857142857,0,5.942116727477643
111,13,1835,13.2,5.28,555,30,42.69230769230769,0,6.669904098795653
112,1,97,9.7,8.38,151,151,151.0,1,5.564443776034101
113,2,459,8.2,6.08,177,92,88.5,0,7.560908247315509
114,7,1631,13.94,3.76,558,71,79.71428571428571,0,7.042932815967275
115,12,1535,15.99,5.5,487,36,40.583333333333336,0,4.837392401235505
116,19,884,10.16,5.94,641,22,33.73684210526316,0,6.32145151404019
117,1,124,15.5,1.46,171,171,171.0,1,4.1121844803504315
118,8,1193,8.84,4.24,628,95,78.5,0,5.507605371571805
119,2,493,8.65,7.36,35,15,17.5,0,6.614980259464347
120,9,2591,12.34,3.48,634,107,70.44444444444444,0,7.280683421185194
121,5,1780,11.79,3.53,540,77,108.0,0,7.252769500181084
122,6,1576,39.4,61.33,469,25,78.16666666666667,0,7.238338782426772
123,1,322,12.38,1.36,114,114,114.0,1,6.360939717482991
124,30,9885,18.86,3.83,578,9,19.266666666666666,0,7.9364456933452034
125,6,1996,11.6,3.25,236,22,39.333333333333336,0,7.300276981454372
126,5,1404,11.51,3.41,49,5,9.8,0,7.170081081171503
127,5,987,8.89,2.21,602,365,120.4,0,6.099197246910864
128,6,2337,9.86,3.67,435,39,72.5,0,5.094179556473186
129,3,968,9.88,2.51,366,64,122.0,0,6.631790951484344
130,11,3393,7.51,2.77,452,1,41.09090909090909,0,5.733826596004578
131,1,68,9.71,14.64,549,549,549.0,1,6.467155100105644
132,1,225,11.84,5.13,17,17,17.0,1,6.449696030753374
133,7,1413,12.39,3.48,578,19,82.57142857142857,0,5.895283988634013
134,33,5346,12.67,14.67,604,35,18.303030303030305,0,6.4217198240233655
135,3,116,7.25,5.47,204,107,68.0,0,5.4275018249288625
136,6,1734,11.8,4.38,472,25,78.66666666666667,0,6.93896320610633
137,16,2351,8.91,4.14,527,16,32.9375,0,6.905873509564119
138,5,531,26.55,15.25,636,53,127.2,0,7.7032785261589485
139,9,3864,9.64,7.7,586,168,65.11111111111111,0,6.490465534607312
140,5,735,12.46,4.38,576,8,115.2,0,6.912125714699672
141,2,410,9.11,3.19,311,236,155.5,0,5.717093488715873
142,3,687,13.47,4.68,117,1,39.0,0,6.317164686747284
143,8,1393,18.33,11.02,392,33,49.0,0,5.414588148213423
144,16,13690,56.11,19.26,610,10,38.125,0,8.76029308370227
145,2,345,9.32,4.14,193,115,96.5,0,4.877637092633392
146,1,128,10.67,4.86,22,22,22.0,1,6.1140139831864895
147,37,12453,11.79,3.62,635,61,17.16216216216216,0,7.896820522918578
148,41,7220,10.37,3.87,648,10,15.804878048780488,0,8.130282873555807
149,17,5123,14.15,3.5,635,2,37.35294117647059,0,7.237073414510433
150,4,1084,24.09,4.69,122,80,30.5,0,6.569467395070499
151,2,765,10.2,3.11,3,2,1.5,0,6.798531755954344
152,1,227,8.11,3.73,37,37,37.0,1,6.407671751748048
153,5,217,9.04,6.0,330,54,66.0,0,6.114787763139981
154,2,918,18.0,3.54,330,92,165.0,0,5.604956120349306
155,5,316,7.35,7.09,574,16,114.8,0,5.440684607834958
156,2,267,12.71,11.52,78,40,39.0,0,5.244811099024895
157,2,1115,11.26,2.94,124,65,62.0,0,7.674636075919138
158,5,1076,11.33,4.13,542,151,108.4,0,5.9369291607099575
159,3,371,8.24,3.93,594,542,198.0,0,5.5308170127862715
160,3,419,9.31,9.6,79,15,26.333333333333332,0,7.049098579047533
161,9,4589,12.17,2.89,443,67,49.22222222222222,0,7.626341135221578
162,15,1681,8.24,4.85,631,11,42.06666666666667,0,5.941302191914918
163,29,10551,30.76,5.85,639,5,22.03448275862069,0,7.6568810109513485
164,19,1859,8.65,4.68,640,16,33.68421052631579,0,6.128723359265022
165,11,6194,12.34,2.97,645,16,58.63636363636363,0,7.007600613951853
166,1,333,11.48,3.57,42,42,42.0,1,5.656481201538188
167,21,3825,12.34,3.4,416,3,19.80952380952381,0,7.447547296540724
168,6,1460,10.21,4.61,381,92,63.5,0,6.759626431473373
169,3,476,10.82,4.11,60,24,20.0,0,3.9512437185814275
170,5,949,13.18,4.12,444,82,88.8,0,6.3708423204528275
171,9,2721,26.94,4.65,533,94,59.22222222222222,0,6.918952357075353
172,9,1920,13.71,3.96,564,4,62.666666666666664,0,6.247655952468392
173,4,272,8.0,5.72,293,166,73.25,0,5.075048807420676
174,13,6251,29.91,3.42,557,53,42.84615384615385,0,8.726344912007695
175,9,5125,21.44,133.66,500,54,55.55555555555556,0,8.83060441224025
176,23,1970,10.71,3.57,641,19,27.869565217391305,0,7.116645735818236
177,250,18610,4.96,17.37,644,0,2.576,0,9.698180235649948
178,7,1501,7.25,4.47,430,40,61.42857142857143,0,6.978642355329787
179,5,7077,55.29,1.51,272,45,54.4,0,8.314983979711357
180,7,707,7.07,189.74,120,52,17.142857142857142,0,7.602910442194875
181,7,2171,10.24,3.33,645,81,92.14285714285714,0,5.84479001776017
182,7,3400,11.3,4.2,317,58,45.285714285714285,0,7.448211547069162
183,6,790,13.86,4.84,318,99,53.0,0,5.321350065658609
184,7,1198,15.76,3.77,512,92,73.14285714285714,0,5.603262078550646
185,13,2479,13.05,2.73,646,99,49.69230769230769,0,6.594700696195219
186,1,218,19.82,1.35,194,194,194.0,1,5.382658514981788
187,10,1551,9.29,5.56,428,59,42.8,0,5.049535443053812
188,1,484,8.07,3.04,438,438,438.0,1,6.191892031178458
189,3,315,10.5,4.4,322,1,107.33333333333333,0,4.787491742782046
190,1,16,8.0,7.11,603,603,603.0,1,3.7123518102990785
191,1,156,13.0,0.94,8,8,8.0,1,6.060594075923562
192,2,3991,166.29,0.9,331,80,165.5,0,8.58876938990546
193,4,267,7.42,4.4,372,94,93.0,0,4.986342601527212
194,8,1110,12.33,2.82,643,236,80.375,0,6.3068772954855294
195,12,580,48.33,0.62,588,36,49.0,0,6.285066562070753
196,9,1366,13.26,1.54,631,88,70.11111111111111,0,6.307004947688159
197,3,122,6.78,1.65,39,8,13.0,0,6.138223691000882
198,5,5744,220.92,1.07,81,0,16.2,0,5.994759114057413
199,1,116,7.25,2.3,7,7,7.0,1,4.588837531367194
200,14,1715,5.7,4.77,647,46,46.214285714285715,0,5.919619397454638
201,9,1405,4.8,2.37,502,283,55.77777777777778,0,5.433852999340729
202,21,4123,11.61,2.94,642,1,30.571428571428573,0,7.623441535423769
203,32,3684,7.97,2.32,428,16,13.375,0,6.899440809378052
204,3,293,13.32,13.59,647,218,215.66666666666666,0,6.371235708124343
205,26,2368,13.69,8.39,636,69,24.46153846153846,0,2.3933394562625097
206,3,135,2.29,2.89,503,39,167.66666666666666,0,4.942356453342962
207,1,501,18.56,0.29,297,297,297.0,1,6.63901271634975
208,5,1469,13.99,3.75,500,178,100.0,0,4.983538126211888
209,6,992,5.67,2.71,637,150,106.16666666666667,0,6.035529278270083
210,5,576,16.94,3.49,498,288,99.6,0,6.258050656265029
211,3,1325,10.27,3.27,386,33,128.66666666666666,0,6.05317093654396
212,12,5671,7.55,1.19,632,5,52.666666666666664,0,6.7363617927198725
213,2,298,33.11,2.52,349,116,174.5,0,4.1993049978585875
214,3,1288,14.31,2.93,499,105,166.33333333333334,0,7.163242101817241
215,17,1512,9.16,2.02,600,34,35.294117647058826,0,6.069443588424571
216,1,34,11.33,1.21,1,1,1.0,1,6.051147549269156
217,1,298,9.03,4.39,33,33,33.0,1,6.088523197446424
218,1,304,7.41,2.98,129,129,129.0,1,6.193547880690543
219,1,179,3.81,1.15,296,296,296.0,1,5.796786968104443
220,18,11012,146.83,1.24,180,18,10.0,0,8.512998405591357
221,1,102,4.25,3.49,81,81,81.0,1,5.3223268190083886
222,6,1189,10.81,20.74,563,111,93.83333333333333,0,6.162282692643507
223,9,2172,28.21,1.1,530,43,58.888888888888886,0,7.332460764850563
224,11,1413,32.86,2.36,648,192,58.90909090909091,0,7.105900971122977
225,3,203,12.69,2.16,79,26,26.333333333333332,0,6.455858722745433
226,2,220,8.46,2.33,634,480,317.0,0,5.060884710499383
227,59,14681,14.56,1.96,647,7,10.966101694915254,0,8.600885232166348
228,2,128,5.12,3.99,484,299,242.0,0,5.027295734989363
229,11,788,16.77,1.58,640,107,58.18181818181818,0,5.58097433428329
230,1,24,12.0,0.0,502,502,502.0,1,6.39263712213079
231,9,1807,15.06,0.95,459,57,51.0,0,6.556295284952479
232,1,76,6.91,3.44,80,80,80.0,1,5.166612875550609
233,49,45602,283.24,1.69,648,11,13.224489795918368,0,8.983828654754205
234,7,702,3.77,2.71,638,80,91.14285714285714,0,5.156408120365343
235,12,2220,11.81,2.62,516,19,43.0,0,6.302142671854024
236,7,1062,10.11,2.46,645,106,92.14285714285714,0,6.848567749054321
237,16,7296,125.79,1.05,606,47,37.875,0,7.862189220634332
238,1,109,9.91,3.33,264,264,264.0,1,5.541106670109081
239,6,909,11.36,2.22,647,14,107.83333333333333,0,6.267314394053126
240,20,6209,11.63,2.81,645,23,32.25,0,6.363028103540465
241,14,1151,8.34,2.37,608,83,43.42857142857143,0,5.3908509679509695
242,1,234,10.17,3.34,431,431,431.0,1,5.541263545158426
243,6,1098,18.61,2.04,177,2,29.5,0,7.8103607939914825
244,9,2673,9.41,3.31,638,95,70.88888888888889,0,7.469745388840246
245,1,48,6.86,4.07,22,22,22.0,1,4.3694478524670215
246,5,877,9.33,2.54,428,275,85.6,0,7.054648256718362
247,8,567,2.84,1.82,644,231,80.5,0,5.789501350058739
248,91,7729,30.55,3.0,633,1,6.956043956043956,0,7.7760944949230995
249,1,124,12.4,0.8,42,42,42.0,1,5.225961704355896
250,4,315,8.51,8.22,598,107,149.5,0,5.38541207339897
251,22,3324,73.87,2.37,638,67,29.0,0,7.228997844955878
252,5,320,18.82,0.04,529,94,105.8,0,4.8346933442663405
253,2,354,12.64,7.67,298,21,149.0,0,4.885827643502908
254,7,603,10.58,1.66,569,30,81.28571428571429,0,3.769537357131391
255,2,197,7.88,3.64,178,29,89.0,0,5.599717415828014
256,6,727,10.54,1.81,522,145,87.0,0,6.148340082570462
257,31,10328,12.94,1.73,645,67,20.806451612903224,0,6.89886588513622
258,30,5930,10.72,2.41,634,23,21.133333333333333,0,7.39324463305496
259,6,1031,10.74,3.07,501,58,83.5,0,6.288081583617342
260,25,4885,12.03,2.65,635,2,25.4,0,6.957449796005989
261,6,1399,9.58,3.41,342,23,57.0,0,7.07470935864497
262,10,2038,10.24,20.94,512,106,51.2,0,7.135185628831928
263,1,266,11.08,3.98,32,32,32.0,1,5.732369931508114
264,25,4284,10.9,6.76,558,2,22.32,0,7.450027242857073
265,12,1448,9.92,2.97,644,76,53.666666666666664,0,7.157213541207749
266,2,355,7.89,4.62,438,39,219.0,0,5.708106446136256
267,6,1418,27.8,0.94,636,2,106.0,0,5.633073846385746
268,4,136,11.33,10.26,432,48,108.0,0,6.131878450823196
269,1,351,3.51,3.01,277,277,277.0,1,5.741142483413278
270,7,767,6.56,3.39,369,302,52.714285714285715,0,6.58007032089325
271,2,221,9.21,2.15,310,278,155.0,0,6.050181468066766
272,2,448,19.48,1.26,340,170,170.0,0,5.776661120068773
273,2,268,12.76,1.41,200,93,100.0,0,5.761107541275471
274,2,186,7.75,3.11,365,175,182.5,0,5.739889370549484
275,20,2566,8.67,3.69,633,36,31.65,0,5.96653128056277
276,8,1857,9.62,1.29,590,23,73.75,0,5.700309785177229
277,3,220,16.92,1.71,310,227,103.33333333333333,0,6.01028630134857
278,30,4842,6.57,3.17,633,15,21.1,0,6.948897222313312
279,2,998,12.48,1.86,339,123,169.5,0,6.525528067341151
280,1,9,3.0,0.29,61,61,61.0,1,5.258276317010853
281,4,378,7.56,17.42,501,62,125.25,0,5.9630136309339665
282,2,91,5.69,2.84,355,319,177.5,0,4.671706709788335
283,33,9492,11.15,1.84,452,9,13.696969696969697,0,6.002725899385
284,10,2138,8.69,1.9,638,199,63.8,0,4.616505695651837
285,46,7536,13.48,2.7,648,16,14.08695652173913,0,8.411250283979014
286,2,92,9.2,1.82,326,0,163.0,0,5.085124146086995
287,25,27689,16.76,2.22,640,53,25.6,0,8.887493881803449
288,1,72,24.0,0.25,334,334,334.0,1,5.626001097136171
289,171,42057,17.97,2.73,646,9,3.7777777777777777,0,9.421861443174565
290,19,1916,11.75,4.19,403,45,21.210526315789473,0,8.147415639128425
291,2,589,32.72,285.56,639,639,319.5,0,5.428116804082881
292,11,372,4.54,2.7,577,121,52.45454545454545,0,3.548467300397191
293,10,1440,60.0,0.7,298,39,29.8,0,5.946990057006152
294,26,4125,5.54,11.64,647,32,24.884615384615383,0,7.032085722396916
295,18,6605,22.24,3.59,226,3,12.555555555555555,0,9.286071026867868
296,32,4383,13.01,3.42,491,43,15.34375,0,7.100266411935212
297,2,280,13.33,1.54,486,347,243.0,0,5.453353368647568
298,5,318,28.91,1.0,562,42,112.4,0,6.583464545662969
299,7,3090,25.12,1.69,583,85,83.28571428571429,0,6.2094749463104435
300,2,405,10.95,2.24,460,66,230.0,0,5.707077041605631
301,10,521,3.01,3.48,647,46,64.7,0,5.867600559885596
302,33,3344,11.22,2.86,530,23,16.060606060606062,0,7.088775990043044
303,7,2491,12.15,4.23,508,93,72.57142857142857,0,7.0353830293534445
304,17,1468,10.05,4.57,532,31,31.294117647058822,0,4.348728349272367
305,7,568,6.24,3.37,348,117,49.714285714285715,0,5.7584600359468965
306,3,1934,11.05,3.7,294,161,98.0,0,7.032827241308728
307,10,1679,13.43,2.1,557,162,55.7,0,6.597063843147503
308,5,1023,10.44,2.93,578,97,115.6,0,6.404401670054847
309,5,509,9.43,2.61,325,93,65.0,0,6.5773048746794185
310,10,1944,9.67,2.41,640,52,64.0,0,7.107965868611831
311,13,2620,2.88,1.94,411,2,31.615384615384617,0,7.200648748484451
312,4,412,7.36,2.37,306,42,76.5,0,5.917118084979325
313,4,2218,21.33,2.76,347,19,86.75,0,7.883676256091223
314,16,3527,12.08,2.41,639,123,39.9375,0,6.714413218904717
315,1,24,24.0,0.0,9,9,9.0,1,6.165837934052762
316,24,3185,5.44,3.35,641,43,26.708333333333332,0,6.671994970056466
317,3,728,14.56,3.01,198,15,66.0,0,6.219078093093644
318,4,515,4.64,2.08,401,236,100.25,0,5.798365117142149
319,8,3128,19.07,1.7,551,50,68.875,0,6.624118347238965
320,2,593,8.59,3.13,25,15,12.5,0,6.118581662167447
321,2,684,40.24,0.59,322,260,161.0,0,6.483351969853722
322,3,537,13.1,3.09,299,40,99.66666666666667,0,5.5838345974203065
323,4,648,5.1,2.52,451,108,112.75,0,5.481596797767104
324,2,96,9.6,4.11,471,161,235.5,0,5.340801978154192
325,1,50,2.38,3.29,208,208,208.0,1,5.353846676340517
326,10,1093,6.11,3.23,638,276,63.8,0,5.1049753064706165
327,11,3218,3.83,3.37,644,225,58.54545454545455,0,6.276756264937125
328,1,67,6.7,1.4,340,340,340.0,1,5.513630338747058
329,18,6323,12.28,1.15,632,42,35.111111111111114,0,6.919525734581052
330,12,2268,23.62,1.23,545,10,45.416666666666664,0,7.119311961044427
331,9,1283,10.02,1.9,199,40,22.11111111111111,0,5.090370262115109
332,2,425,8.02,2.35,38,3,19.0,0,5.513348097751696
333,1,412,29.43,0.12,24,24,24.0,1,4.7098904967584945
334,4,870,9.56,5.15,526,171,131.5,0,6.973233983009232
335,7,2475,11.05,2.3,343,30,49.0,0,5.579012587700251
336,48,7692,59.63,1.93,644,1,13.416666666666666,0,8.35831468634875
337,1,231,19.25,1.19,35,35,35.0,1,5.8132346082172806
338,8,1493,14.08,4.1,631,30,78.875,0,6.187853361113372
339,3,90,11.25,1.55,521,60,173.66666666666666,0,3.984157603187345
340,7,861,5.22,2.67,645,64,92.14285714285714,0,5.7375395714543345
341,10,3948,16.94,2.82,593,38,59.3,0,7.173444777955086
342,9,1316,8.83,1.4,642,4,71.33333333333333,0,5.616225494306669
343,10,1646,12.56,2.98,477,37,47.7,0,6.211081888645634
344,4,239,6.13,3.17,485,95,121.25,0,4.541164856012179
345,1,413,12.52,2.21,60,60,60.0,1,6.682684872474213
346,14,4473,50.83,1.92,632,52,45.142857142857146,0,7.548260888216485
347,27,2687,2.86,2.94,540,47,20.0,0,6.2230126807660024
348,5,543,4.21,2.69,152,7,30.4,0,5.482137799465727
349,3,920,20.91,2.11,603,245,201.0,0,5.4909192327495475
350,1,146,9.73,4.44,16,16,16.0,1,5.2972167611040035
351,4,227,9.08,3.31,499,73,124.75,0,5.688668836846153
352,1,186,8.45,2.25,341,341,341.0,1,5.910254491682439
353,10,2312,8.72,1.57,434,85,43.4,0,4.791068671272389
354,2,433,18.83,3.94,421,283,210.5,0,4.971617227075527
355,3,186,10.94,2.23,310,114,103.33333333333333,0,6.0250443803711775
356,8,307,1.57,2.92,608,307,76.0,0,5.467004732066187
357,27,2697,2.39,2.06,322,17,11.925925925925926,0,7.630524366588594
358,3,955,18.37,2.29,183,93,61.0,0,6.176282984100524
359,15,4137,22.36,1.15,632,22,42.13333333333333,0,6.886684848362846
360,32,2982,9.62,2.87,641,1,20.03125,0,7.06204594901031
361,6,1948,8.62,1.3,176,79,29.333333333333332,0,6.829728870543744
362,21,3930,13.06,2.67,647,19,30.80952380952381,0,7.653343095481517
363,4,565,3.36,3.54,551,9,137.75,0,5.909169304381152
364,5,250,16.67,0.4,449,25,89.8,0,4.324132656254979
365,3,732,13.56,1.43,520,309,173.33333333333334,0,6.1746607213125975
366,3,218,7.79,2.08,315,71,105.0,0,5.360540709728169
367,3,110,10.0,2.89,549,95,183.0,0,3.685373314784649
368,5,1483,10.59,3.23,533,70,106.6,0,6.429977509262347
369,4,240,8.0,3.59,435,193,108.75,0,5.590800395940859
370,3,1514,29.12,3.08,452,294,150.66666666666666,0,7.494524760061487
371,14,1518,10.47,3.56,548,2,39.142857142857146,0,5.830561957687327
372,2,623,18.32,2.7,506,112,253.0,0,6.171909343889077
373,3,696,13.65,1.62,302,116,100.66666666666667,0,6.716025604310987
374,4,499,8.05,2.85,311,115,77.75,0,5.456858394676588
375,1,228,11.4,4.67,59,59,59.0,1,4.3815265096322
376,10,1659,12.2,1.64,646,50,64.6,0,6.1509864901248665
377,8,12052,119.33,2.3,549,41,68.625,0,7.475055749676106
378,17,1931,8.47,3.52,636,108,37.411764705882355,0,6.691624580035713
379,48,6236,9.24,2.9,642,1,13.375,0,7.858459031709311
380,5,1052,10.73,0.88,388,16,77.6,0,6.225290834268659
381,15,4265,57.64,3.52,473,112,31.533333333333335,0,7.975069520465363
382,19,3472,12.86,5.2,630,22,33.1578947368421,0,6.678618805931518
383,7,2328,26.76,3.49,644,276,92.0,0,5.931820694180467
384,4,2263,6.64,2.31,562,100,140.5,0,6.457334645072111
385,10,7230,49.52,25.57,564,15,56.4,0,7.019332431250334
386,1,449,8.8,20.09,187,187,187.0,1,6.4587927255248445
387,1,191,7.07,9.23,312,312,312.0,1,5.766131099720736
388,5,1443,8.02,2.43,334,155,66.8,0,7.209791338282223
389,1,346,10.48,3.12,319,319,319.0,1,6.705345294054834
390,1,318,10.6,4.81,127,127,127.0,1,6.996727232784401
391,5,2887,12.13,3.64,643,68,128.6,0,7.038002534727837
392,1,622,25.92,2.85,354,354,354.0,1,6.386121456499543
393,1,126,12.6,0.51,46,46,46.0,1,5.8506207697603365
394,10,3473,14.84,3.07,647,22,64.7,0,6.949108332465616
395,6,2202,15.08,4.79,410,38,68.33333333333333,0,7.517874049090667
396,1,89,5.56,3.51,142,142,142.0,1,6.138914254052992
397,16,3555,12.7,2.11,648,25,40.5,0,6.674169901050502
398,1,134,10.31,2.37,228,228,228.0,1,6.704512389374264
399,8,1003,17.0,3.9,598,92,74.75,0,5.22971727505578
400,2,58,11.6,4.67,632,297,316.0,0,2.772588722239781
401,1,77,12.83,2.11,122,122,122.0,1,3.5745903077118086
402,5,795,24.09,3.51,633,113,126.6,0,2.772588722239781
403,82,19044,34.88,2.46,645,9,7.865853658536586,0,8.962957917629852
404,7,986,30.81,1.28,640,96,91.42857142857143,0,5.8730187919015
405,1,66,9.43,0.5,645,645,645.0,1,6.112796832275507
